#   ix    iy    iz      toten(eV)
     6     6     0     -20038.883357904404
     7     6     0     -20038.873666024963
     8     6     0     -20038.871119039210
     9     6     0     -20038.877165273178
    10     6     0     -20038.887769550398
    11     6     0     -20038.896672435694
    12     6     0     -20038.899125133990
    13     6     0     -20038.894231982518
    14     6     0     -20038.885389914671
    15     6     0     -20038.878540128466
    16     6     0     -20038.878526930945
    17     6     0     -20038.885383656052
    18     6     0     -20038.894234295483
    19     6     0     -20038.899110984072
    20     6     0     -20038.896655020406
    21     6     0     -20038.887782339749
    22     6     0     -20038.877163368379
    23     6     0     -20038.871130876163
    24     6     0     -20038.873665888907
    25     6     0     -20038.883356135662
    26     6     0     -20038.894203138447
    27     6     0     -20038.899844330932
    28     6     0     -20038.896973665738
    29     6     0     -20038.887032666058
    30     6     0     -20038.875604019890
    31     6     0     -20038.869706904323
     0     7     0     -20038.910004110156
     1     7     0     -20038.907954684601
     2     7     0     -20038.903980325584
     3     7     0     -20038.900278896766
     4     7     0     -20038.899364594192
     5     7     0     -20038.901990220849
     6     7     0     -20038.906339688827
     7     7     0     -20038.909582333668
     8     7     0     -20038.909923836567
     9     7     0     -20038.907269774008
    10     7     0     -20038.903257182996
    11     7     0     -20038.900795777048
    12     7     0     -20038.902366554321
    13     7     0     -20038.907769647172
    14     7     0     -20038.914201466487
    15     7     0     -20038.918367257604
    16     7     0     -20038.918370386913
    17     7     0     -20038.914203643395
    18     7     0     -20038.907760531358
    19     7     0     -20038.902333084316
    20     7     0     -20038.900808566403
    21     7     0     -20038.903246162383
    22     7     0     -20038.907271542750
    23     7     0     -20038.909926965876
    24     7     0     -20038.909584238467
    25     7     0     -20038.906344722931
    26     7     0     -20038.901995254957
    27     7     0     -20038.899357247115
    28     7     0     -20038.900267059817
    29     7     0     -20038.903971753996
    30     7     0     -20038.907938085653
    31     7     0     -20038.909980708362
     0     8     0     -20038.939616901236
     1     8     0     -20038.930521495386
     2     8     0     -20038.912398984259
     3     8     0     -20038.895790378607
     4     8     0     -20038.890864709527
     5     8     0     -20038.900604617062
     6     8     0     -20038.918675154440
     7     8     0     -20038.933892986141
     8     8     0     -20038.937553733933
     9     8     0     -20038.928006483009
    10     8     0     -20038.911525906929
    11     8     0     -20038.899080235205
    12     8     0     -20038.899601197194
    13     8     0     -20038.913673701645
    14     8     0     -20038.933049161056
    15     8     0     -20038.946452537519
    16     8     0     -20038.946447231301
    17     8     0     -20038.933050793737
    18     8     0     -20038.913671116567
    19     8     0     -20038.899605006791
    20     8     0     -20038.899085133253
    21     8     0     -20038.911537335713
    22     8     0     -20038.928006210896
    23     8     0     -20038.937551965191
    24     8     0     -20038.933912578337
    25     8     0     -20038.918681140942
    26     8     0     -20038.900599582958
    27     8     0     -20038.890858314851
    28     8     0     -20038.895775820518
    29     8     0     -20038.912395038606
    30     8     0     -20038.930521767499
    31     8     0     -20038.939620438716
     0     9     0     -20038.946915267145
     1     9     0     -20038.932835823784
     2     9     0     -20038.904293392581
     3     9     0     -20038.877836033847
     4     9     0     -20038.869425130419
     5     9     0     -20038.883893696595
     6     9     0     -20038.911833123482
     7     9     0     -20038.936111122290
     8     9     0     -20038.943038460944
     9     9     0     -20038.929745834819
    10     9     0     -20038.905394365269
    11     9     0     -20038.886217957155
    12     9     0     -20038.885466514723
    13     9     0     -20038.904245092370
    14     9     0     -20038.930962728013
    15     9     0     -20038.949591234868
    16     9     0     -20038.949587425272
    17     9     0     -20038.930951843460
    18     9     0     -20038.904234479927
    19     9     0     -20038.885464337811
    20     9     0     -20038.886213739392
    21     9     0     -20038.905394773439
    22     9     0     -20038.929744202138
    23     9     0     -20038.943038052774
    24     9     0     -20038.936112346804
    25     9     0     -20038.911825232179
    26     9     0     -20038.883893152371
    27     9     0     -20038.869423089563
    28     9     0     -20038.877840659785
    29     9     0     -20038.904289991158
    30     9     0     -20038.932825483458
    31     9     0     -20038.946911185434
     0    10     0     -20038.934822118925
     1    10     0     -20038.918621275894
     2    10     0     -20038.885332634702
     3    10     0     -20038.854108113210
     4    10     0     -20038.843557986653
     5    10     0     -20038.859589983029
     6    10     0     -20038.891635608099
     7    10     0     -20038.920257496549
     8    10     0     -20038.929779576938
     9    10     0     -20038.916610082339
    10    10     0     -20038.890505247113
    11    10     0     -20038.868999680391
    12    10     0     -20038.866305889209
    13    10     0     -20038.883715325963
    14    10     0     -20038.909330084120
    15    10     0     -20038.927230278219
    16    10     0     -20038.927246741107
    17    10     0     -20038.909335526394
    18    10     0     -20038.883727435026
    19    10     0     -20038.866311603600
    20    10     0     -20038.868989204006
    21    10     0     -20038.890497627926
    22    10     0     -20038.916606408802
    23    10     0     -20038.929792094175
    24    10     0     -20038.920279945945
    25    10     0     -20038.891636968667
    26    10     0     -20038.859589302745
    27    10     0     -20038.843551591977
    28    10     0     -20038.854109337724
    29    10     0     -20038.885323110717
    30    10     0     -20038.918618010532
    31    10     0     -20038.934813275224
     0    11     0     -20038.916514162203
     1    11     0     -20038.901561233346
     2    11     0     -20038.870593723397
     3    11     0     -20038.841226242963
     4    11     0     -20038.830649041072
     5    11     0     -20038.844618142259
     6    11     0     -20038.873711331922
     7    11     0     -20038.900495091231
     8    11     0     -20038.911029027018
     9    11     0     -20038.901752121223
    10    11     0     -20038.880513090029
    11    11     0     -20038.861448792821
    12    11     0     -20038.855886105190
    13    11     0     -20038.864771303080
    14    11     0     -20038.879483955399
    15    11     0     -20038.889746729721
    16    11     0     -20038.889749859030
    17    11     0     -20038.879490622192
    18    11     0     -20038.864773752110
    19    11     0     -20038.855882295593
    20    11     0     -20038.861444847171
    21    11     0     -20038.880515402994
    22    11     0     -20038.901764910570
    23    11     0     -20038.911034877467
    24    11     0     -20038.900500125339
    25    11     0     -20038.873687794072
    26    11     0     -20038.844629026815
    27    11     0     -20038.830635979608
    28    11     0     -20038.841229100159
    29    11     0     -20038.870576716283
    30    11     0     -20038.901557967980
    31    11     0     -20038.916509264152
     0    12     0     -20038.904656800645
     1    12     0     -20038.894100959693
     2    12     0     -20038.872372259604
     3    12     0     -20038.851530514650
     4    12     0     -20038.843355942106
     5    12     0     -20038.852002904317
     6    12     0     -20038.871240810164
     7    12     0     -20038.889924964300
     8    12     0     -20038.899074248697
     9    12     0     -20038.896180589883
    10    12     0     -20038.885026098436
    11    12     0     -20038.872398382537
    12    12     0     -20038.863470190652
    13    12     0     -20038.858512276078
    14    12     0     -20038.855125683000
    15    12     0     -20038.852728359874
    16    12     0     -20038.852740741055
    17    12     0     -20038.855115342674
    18    12     0     -20038.858513092418
    19    12     0     -20038.863470190652
    20    12     0     -20038.872404641152
    21    12     0     -20038.885022424900
    22    12     0     -20038.896183174966
    23    12     0     -20038.899073976583
    24    12     0     -20038.889903331248
    25    12     0     -20038.871239449596
    26    12     0     -20038.852001679803
    27    12     0     -20038.843364785807
    28    12     0     -20038.851521670949
    29    12     0     -20038.872366953383
    30    12     0     -20038.894086945827
    31    12     0     -20038.904641970439
     0    13     0     -20038.901771849476
     1    13     0     -20038.897626875063
     2    13     0     -20038.889767274319
     3    13     0     -20038.882005362448
     4    13     0     -20038.878261347814
     5    13     0     -20038.879847771630
     6    13     0     -20038.885000927905
     7    13     0     -20038.890931105310
     8    13     0     -20038.896084941862
     9    13     0     -20038.899785962505
    10    13     0     -20038.900750061923
    11    13     0     -20038.896795022989
    12    13     0     -20038.885666110240
    13    13     0     -20038.866802633067
    14    13     0     -20038.844857058233
    15    13     0     -20038.829585347983
    16    13     0     -20038.829550517410
    17    13     0     -20038.844873521120
    18    13     0     -20038.866806714777
    19    13     0     -20038.885627470070
    20    13     0     -20038.896798288355
    21    13     0     -20038.900747612897
    22    13     0     -20038.899781064454
    23    13     0     -20038.896120452722
    24    13     0     -20038.890931921651
    25    13     0     -20038.885027731118
    26    13     0     -20038.879850900943
    27    13     0     -20038.878262028102
    28    13     0     -20038.882001961028
    29    13     0     -20038.889761423870
    30    13     0     -20038.897617623195
    31    13     0     -20038.901755930816
     0    14     0     -20038.899286769625
     1    14     0     -20038.901966274832
     2    14     0     -20038.909276749804
     3    14     0     -20038.916020275541
     4    14     0     -20038.917734456816
     5    14     0     -20038.912676676457
     6    14     0     -20038.903024525640
     7    14     0     -20038.894517021785
     8    14     0     -20038.893499588055
     9    14     0     -20038.901789536874
    10    14     0     -20038.913776968860
    11    14     0     -20038.919049447060
    12    14     0     -20038.908819870627
    13    14     0     -20038.882042233876
    14    14     0     -20038.848354129532
    15    14     0     -20038.824722537207
    16    14     0     -20038.824729476106
    17    14     0     -20038.848361612665
    18    14     0     -20038.882039648794
    19    14     0     -20038.908824360504
    20    14     0     -20038.919062236408
    21    14     0     -20038.913793295691
    22    14     0     -20038.901794434925
    23    14     0     -20038.893499724112
    24    14     0     -20038.894516885732
    25    14     0     -20038.903017178567
    26    14     0     -20038.912665519787
    27    14     0     -20038.917736905845
    28    14     0     -20038.916029391356
    29    14     0     -20038.909247089388
    30    14     0     -20038.901959880153
    31    14     0     -20038.899296157553
     0    15     0     -20038.886560276391
     1    15     0     -20038.895042337597
     2    15     0     -20038.915668840487
     3    15     0     -20038.935533832730
     4    15     0     -20038.942787980133
     5    15     0     -20038.932832014190
     6    15     0     -20038.910700721641
     7    15     0     -20038.888912156504
     8    15     0     -20038.880715950909
     9    15     0     -20038.890718856495
    10    15     0     -20038.910668067980
    11    15     0     -20038.924489411340
    12    15     0     -20038.919020875102
    13    15     0     -20038.892610319952
    14    15     0     -20038.857107216147
    15    15     0     -20038.831900492729
    16    15     0     -20038.831892329312
    17    15     0     -20038.857107080090
    18    15     0     -20038.892614809833
    19    15     0     -20038.919023324128
    20    15     0     -20038.924489411340
    21    15     0     -20038.910672557857
    22    15     0     -20038.890719400722
    23    15     0     -20038.880720168676
    24    15     0     -20038.888921272319
    25    15     0     -20038.910710653799
    26    15     0     -20038.932842082406
    27    15     0     -20038.942794646926
    28    15     0     -20038.935536145698
    29    15     0     -20038.915657411704
    30    15     0     -20038.895026963168
