#   ix    iy    iz      toten(eV)
     6     6     0     -20041.084257954022
     7     6     0     -20041.072415694787
     8     6     0     -20041.071306014455
     9     6     0     -20041.082701190619
    10     6     0     -20041.100790095683
    11     6     0     -20041.116112827276
    12     6     0     -20041.121542043060
    13     6     0     -20041.116048744461
    14     6     0     -20041.104864184432
    15     6     0     -20041.096231780313
    16     6     0     -20041.096235998077
    17     6     0     -20041.104876973783
    18     6     0     -20041.116057996333
    19     6     0     -20041.121562723714
    20     6     0     -20041.116138950209
    21     6     0     -20041.100804381658
    22     6     0     -20041.082716701108
    23     6     0     -20041.071318395640
    24     6     0     -20041.072404674174
    25     6     0     -20041.084237137315
    26     6     0     -20041.098991831219
    27     6     0     -20041.107867505132
    28     6     0     -20041.106394688850
    29     6     0     -20041.095975312997
    30     6     0     -20041.083209363256
    31     6     0     -20041.076125695188
     0     7     0     -20041.117465913459
     1     7     0     -20041.117344006445
     2     7     0     -20041.114889267294
     3     7     0     -20041.111197362465
     4     7     0     -20041.108188327376
     5     7     0     -20041.107054701024
     6     7     0     -20041.107884104076
     7     7     0     -20041.110409184665
     8     7     0     -20041.114693481370
     9     7     0     -20041.120402838376
    10     7     0     -20041.126128930384
    11     7     0     -20041.130206148442
    12     7     0     -20041.131717332777
    13     7     0     -20041.130914460824
    14     7     0     -20041.128962315976
    15     7     0     -20041.127410314562
    16     7     0     -20041.127408545821
    17     7     0     -20041.128959594836
    18     7     0     -20041.130917181963
    19     7     0     -20041.131712570783
    20     7     0     -20041.130198937426
    21     7     0     -20041.126127161642
    22     7     0     -20041.120393858619
    23     7     0     -20041.114698243364
    24     7     0     -20041.110419524990
    25     7     0     -20041.107891587206
    26     7     0     -20041.107049258746
    27     7     0     -20041.108170912088
    28     7     0     -20041.111195729780
    29     7     0     -20041.114877022170
    30     7     0     -20041.117344142505
    31     7     0     -20041.117464144718
     0     8     0     -20041.147816677334
     1     8     0     -20041.141553296507
     2     8     0     -20041.125312860910
     3     8     0     -20041.108551735437
     4     8     0     -20041.101078808490
     5     8     0     -20041.107022183416
     6     8     0     -20041.122458250433
     7     8     0     -20041.139165225250
     8     8     0     -20041.150140937891
     9     8     0     -20041.152883437455
    10     8     0     -20041.149373440741
    11     8     0     -20041.144320966599
    12     8     0     -20041.142279976575
    13     8     0     -20041.144933630960
    14     8     0     -20041.150269919865
    15     8     0     -20041.154408091425
    16     8     0     -20041.154408227481
    17     8     0     -20041.150276586650
    18     8     0     -20041.144940705923
    19     8     0     -20041.142288139992
    20     8     0     -20041.144325456477
    21     8     0     -20041.149387182493
    22     8     0     -20041.152871872615
    23     8     0     -20041.150122434148
    24     8     0     -20041.139149986873
    25     8     0     -20041.122467910478
    26     8     0     -20041.107015788741
    27     8     0     -20041.101077583975
    28     8     0     -20041.108561531535
    29     8     0     -20041.125318711358
    30     8     0     -20041.141567174313
    31     8     0     -20041.147822391726
     0     9     0     -20041.154932863010
     1     9     0     -20041.144637026853
     2     9     0     -20041.118587158628
     3     9     0     -20041.092294428781
     4     9     0     -20041.081564162843
     5     9     0     -20041.092924508430
     6     9     0     -20041.119786772590
     7     9     0     -20041.148261855615
     8     9     0     -20041.166300555669
     9     9     0     -20041.169518982380
    10     9     0     -20041.161711763551
    11     9     0     -20041.151609944576
    12     9     0     -20041.147508780501
    13     9     0     -20041.152330093915
    14     9     0     -20041.162253542250
    15     9     0     -20041.169978854807
    16     9     0     -20041.169981031715
    17     9     0     -20041.162258168184
    18     9     0     -20041.152332542941
    19     9     0     -20041.147511773754
    20     9     0     -20041.151615250797
    21     9     0     -20041.161717477942
    22     9     0     -20041.169520479005
    23     9     0     -20041.166304637376
    24     9     0     -20041.148253556141
    25     9     0     -20041.119784867791
    26     9     0     -20041.092950223188
    27     9     0     -20041.081574911339
    28     9     0     -20041.092296333580
    29     9     0     -20041.118588655256
    30     9     0     -20041.144639475879
    31     9     0     -20041.154940754310
     0    10     0     -20041.141391660869
     1    10     0     -20041.129777024882
     2    10     0     -20041.099764770650
     3    10     0     -20041.069622445990
     4    10     0     -20041.057930801773
     5    10     0     -20041.072282086880
     6    10     0     -20041.105269089858
     7    10     0     -20041.140655864987
     8    10     0     -20041.164170856526
     9    10     0     -20041.170316684169
    10    10     0     -20041.163167436658
    11    10     0     -20041.152692277465
    12    10     0     -20041.148644175591
    13    10     0     -20041.154662381829
    14    10     0     -20041.166433347233
    15    10     0     -20041.175535011706
    16    10     0     -20041.175534195365
    17    10     0     -20041.166435932315
    18    10     0     -20041.154670953420
    19    10     0     -20041.148644447705
    20    10     0     -20041.152694182263
    21    10     0     -20041.163171926535
    22    10     0     -20041.170318044737
    23    10     0     -20041.164174121892
    24    10     0     -20041.140677906209
    25    10     0     -20041.105276572991
    26    10     0     -20041.072267800904
    27    10     0     -20041.057921549902
    28    10     0     -20041.069618908510
    29    10     0     -20041.099776063373
    30    10     0     -20041.129778249393
    31    10     0     -20041.141411797296
     0    11     0     -20041.120485288877
     1    11     0     -20041.110464831949
     2    11     0     -20041.083603520183
     3    11     0     -20041.056695540894
     4    11     0     -20041.046785017967
     5    11     0     -20041.060896298648
     6    11     0     -20041.092588719923
