#   ix    iy    iz      toten(eV)
     6     6     0     -20040.040335026231
     7     6     0     -20040.032724681783
     8     6     0     -20040.028824745907
     9     6     0     -20040.028984476743
    10     6     0     -20040.030482463557
    11     6     0     -20040.030502055757
    12     6     0     -20040.028330587134
    13     6     0     -20040.024743310081
    14     6     0     -20040.020901742631
    15     6     0     -20040.018275843857
    16     6     0     -20040.018266047759
    17     6     0     -20040.020883374946
    18     6     0     -20040.024733513987
    19     6     0     -20040.028352628357
    20     6     0     -20040.030534029134
    21     6     0     -20040.030495388964
    22     6     0     -20040.028989646908
    23     6     0     -20040.028833317494
    24     6     0     -20040.032734749995
    25     6     0     -20040.040353257860
    26     6     0     -20040.047851763513
    27     6     0     -20040.050452083582
    28     6     0     -20040.045678390092
    29     6     0     -20040.034872204385
    30     6     0     -20040.023317977673
    31     6     0     -20040.017659505960
     0     7     0     -20040.057066899466
     1     7     0     -20040.054875430473
     2     7     0     -20040.050996311304
     3     7     0     -20040.047903601204
     4     7     0     -20040.048609872731
     5     7     0     -20040.054063034535
     6     7     0     -20040.061466572450
     7     7     0     -20040.065701616546
     8     7     0     -20040.061893519098
     9     7     0     -20040.048243063244
    10     7     0     -20040.028300654609
    11     7     0     -20040.011111766144
    12     7     0     -20040.006265146141
    13     7     0     -20040.016197710291
    14     7     0     -20040.033402653469
    15     7     0     -20040.046096493043
    16     7     0     -20040.046086560884
    17     7     0     -20040.033394217942
    18     7     0     -20040.016193356467
    19     7     0     -20040.006256030327
    20     7     0     -20040.011106187809
    21     7     0     -20040.028315212701
    22     7     0     -20040.048250546377
    23     7     0     -20040.061901682515
    24     7     0     -20040.065706242483
    25     7     0     -20040.061480586315
    26     7     0     -20040.054072830633
    27     7     0     -20040.048630009158
    28     7     0     -20040.047907818967
    29     7     0     -20040.051011957854
    30     7     0     -20040.054867675230
    31     7     0     -20040.057056967307
     0     8     0     -20040.086433155386
     1     8     0     -20040.076941959924
     2     8     0     -20040.058517130292
     3     8     0     -20040.041918456798
     4     8     0     -20040.038082059509
     5     8     0     -20040.050294665714
     6     8     0     -20040.070778989109
     7     8     0     -20040.084866051653
     8     8     0     -20040.079213838559
     9     8     0     -20040.049497099979
    10     8     0     -20040.004689470818
    11     8     0     -20039.964957989705
    12     8     0     -20039.950300032277
    13     8     0     -20039.965439087013
    14     8     0     -20039.995686039452
    15     8     0     -20040.018499113285
    16     8     0     -20040.018507412755
    17     8     0     -20039.995698692746
    18     8     0     -20039.965418678476
    19     8     0     -20039.950310100488
    20     8     0     -20039.964993636622
    21     8     0     -20040.004702260172
    22     8     0     -20040.049493698560
    23     8     0     -20040.079212205874
    24     8     0     -20040.084864282911
    25     8     0     -20040.070783615043
    26     8     0     -20040.050300380102
    27     8     0     -20040.038080426824
    28     8     0     -20040.041926620215
    29     8     0     -20040.058524613425
    30     8     0     -20040.076955565615
    31     8     0     -20040.086439958235
     0     9     0     -20040.094439153392
     1     9     0     -20040.079406223060
     2     9     0     -20040.049760642258
     3     9     0     -20040.022401362126
     4     9     0     -20040.014248150525
     5     9     0     -20040.030649405409
     6     9     0     -20040.059879332290
     7     9     0     -20040.079878476667
     8     9     0     -20040.070484425854
     9     9     0     -20040.024680859951
    10     9     0     -20039.954342147645
    11     9     0     -20039.886967979812
    12     9     0     -20039.849762803799
    13     9     0     -20039.850016413919
    14     9     0     -20039.871112721390
    15     9     0     -20039.889020806793
    16     9     0     -20039.889050875372
    17     9     0     -20039.871119932406
    18     9     0     -20039.850033829203
    19     9     0     -20039.849791511810
    20     9     0     -20039.886932060781
    21     9     0     -20039.954316977113
    22     9     0     -20040.024672152307
    23     9     0     -20040.070479527803
    24     9     0     -20040.079884055001
    25     9     0     -20040.059894026439
    26     9     0     -20040.030649813583
    27     9     0     -20040.014265293696
    28     9     0     -20040.022420274039
    29     9     0     -20040.049774792180
    30     9     0     -20040.079409624483
    31     9     0     -20040.094452486970
     0    10     0     -20040.083914877647
     1    10     0     -20040.066023935418
     2    10     0     -20040.030631037727
     3    10     0     -20039.997423758577
     4    10     0     -20039.986228722162
